#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
392     0.196     63
393     0.190     60
394     0.182     61
395     0.155     61
396     0.145     65
397     0.158     61
398     0.112     61
399     0.190     72
400     0.064     68
401     0.062     64
402     0.036     57
403     0.068     60
404     0.118     60
405     0.098     63
406     0.122     61
407     0.150     63
408     0.154     66
409     0.174     66
410     0.241     61
411     0.238     66
412     0.251     65
413     0.242     69
414     0.251     69
415     0.221     68
416     0.185     69
417     0.115     71
418     0.100     69
419     0.075     71
420     0.064     70
421     0.067     71
422     0.059     69
423     0.038     64
424     0.103     68
425     0.131     65
426     0.177     63
427     0.179     64
428     0.205     61
429     0.210     64
430     0.235     68
431     0.203     63
432     0.197     60
433     0.155     59
434     0.167     61
435     0.212     57
436     0.215     63
437     0.219     63
438     0.143     60
439     0.125     60
440     0.142     57
441     0.126     61
442     0.111     65
443     0.117     66
444     0.111     65
445     0.071     64
446     0.115     61
447     0.157     62
448     0.136     66
449     0.178     67
450     0.164     69
451     0.154     69
452     0.085     68
453     0.084     72
454     0.131     70
455     0.099     65
456     0.189     67
457     0.122     68
458     0.143     62
459     0.170     61
460     0.210     62
461     0.231     59
462     0.213     64
463     0.226     71
464     0.216     62
465     0.190     65
466     0.186     65
467     0.182     67
468     0.191     60
469     0.174     64
470     0.161     59
471     0.171     59
472     0.212     58
473     0.200     61
474     0.214     58
475     0.212     58
476     0.197     57
477     0.248     51
478     0.239     59
479     0.283     57
480     0.220     61
481     0.246     56
482     0.215     60
483     0.172     67
484     0.134     69
485     0.144     66
486     0.139     62
487     0.093     64
488     0.092     65
489     0.078     69
490     0.083     60
491     0.073     60
492     0.119     64
493     0.120     59
494     0.084     59
495     0.065     58
496     0.069     63
497     0.077     66
498     0.073     66
499     0.047     66
500     0.030     62
501     0.030     74
502     0.048     69
503     0.053     76
504     0.065     76
505     0.083     78
506     0.066     69
507     0.095     70
508     0.157     69
509     0.120     69
510     0.128     71
511     0.087     71
