#Time frame = 0.0 ps; Number of reference = 113000 atoms; Number of chains = 235
#Atomic index    1.5*max_eigval    Number of unit vectors
392     0.220     55
393     0.217     52
394     0.206     53
395     0.173     53
396     0.158     57
397     0.186     55
398     0.130     55
399     0.217     67
400     0.090     64
401     0.095     59
402     0.050     51
403     0.073     52
404     0.099     50
405     0.111     51
406     0.116     47
407     0.108     48
408     0.108     52
409     0.131     48
410     0.205     45
411     0.205     50
412     0.222     50
413     0.208     55
414     0.228     56
415     0.194     56
416     0.149     57
417     0.126     60
418     0.101     59
419     0.078     60
420     0.061     60
421     0.093     59
422     0.075     58
423     0.063     52
424     0.048     54
425     0.086     51
426     0.101     48
427     0.129     48
428     0.141     45
429     0.159     46
430     0.196     50
431     0.128     46
432     0.097     43
433     0.118     44
434     0.120     47
435     0.210     45
436     0.192     51
437     0.197     53
438     0.108     51
439     0.104     52
440     0.127     49
441     0.124     53
442     0.108     55
443     0.114     57
444     0.112     55
445     0.049     55
446     0.096     52
447     0.131     52
448     0.094     57
449     0.121     58
450     0.118     61
451     0.124     59
452     0.047     58
453     0.074     61
454     0.130     60
455     0.113     55
456     0.192     58
457     0.112     59
458     0.129     54
459     0.181     52
460     0.222     54
461     0.262     50
462     0.243     55
463     0.261     61
464     0.260     53
465     0.240     55
466     0.235     56
467     0.240     58
468     0.256     52
469     0.233     52
470     0.199     50
471     0.189     48
472     0.237     49
473     0.164     51
474     0.141     48
475     0.133     47
476     0.138     45
477     0.214     38
478     0.216     45
479     0.266     44
480     0.204     48
481     0.233     45
482     0.207     49
483     0.151     56
484     0.118     59
485     0.106     56
486     0.113     52
487     0.106     55
488     0.126     56
489     0.129     60
490     0.139     49
491     0.103     49
492     0.150     50
493     0.186     46
494     0.167     44
495     0.137     42
496     0.162     46
497     0.126     50
498     0.127     52
499     0.110     52
500     0.082     48
501     0.083     59
502     0.086     54
503     0.063     62
504     0.054     65
505     0.049     67
506     0.077     58
507     0.096     60
508     0.183     59
509     0.152     58
510     0.148     61
511     0.107     59
512     0.137     61
513     0.125     57
514     0.130     57
515     0.086     62
516     0.098     53
517     0.145     58
518     0.134     53
519     0.160     57
520     0.198     57
521     0.170     56
522     0.164     58
523     0.191     57
524     0.219     54
525     0.225     59
526     0.199     61
527     0.206     61
528     0.165     61
529     0.193     57
530     0.109     56
531     0.123     55
532     0.103     52
533     0.136     57
534     0.085     54
535     0.108     53
536     0.108     50
537     0.111     52
538     0.113     51
539     0.145     51
540     0.075     53
541     0.115     49
542     0.191     51
543     0.195     51
544     0.184     51
545     0.128     56
546     0.139     53
547     0.081     52
548     0.075     49
549     0.058     51
550     0.037     51
551     0.032     55
552     0.057     59
553     0.069     59
554     0.073     60
555     0.077     58
556     0.093     58
557     0.125     57
558     0.114     58
559     0.133     61
560     0.128     67
561     0.168     63
562     0.155     64
563     0.134     64
564     0.210     53
565     0.240     54
566     0.291     54
567     0.260     56
568     0.237     55
569     0.213     55
570     0.232     54
571     0.189     54
572     0.179     54
573     0.164     57
574     0.155     54
575     0.105     58
576     0.138     55
577     0.128     51
578     0.107     51
579     0.117     48
580     0.135     53
581     0.183     50
582     0.240     43
583     0.229     46
584     0.210     45
585     0.219     46
586     0.191     46
587     0.174     53
588     0.185     53
589     0.181     56
590     0.221     53
591     0.216     54
592     0.174     62
593     0.138     61
594     0.154     64
595     0.096     58
596     0.148     60
597     0.112     59
598     0.140     56
599     0.136     62
600     0.108     60
601     0.114     60
602     0.087     54
603     0.099     50
604     0.121     62
605     0.167     61
606     0.164     59
607     0.195     59
608     0.223     56
609     0.244     62
610     0.306     62
611     0.368     67
612     0.458     61
613     0.477     73
614     0.527     69
615     0.539     71
616     0.572     72
617     0.649     68
618     0.653     73
619     0.739     71
620     0.793     76
621     0.812     75
622     0.835     79
623     0.845     76
624     0.881     78
625     0.891     76
626     0.866     79
627     0.881     73
628     0.843     77
629     0.877     77
630     0.852     76
631     0.885     75
632     0.866     72
633     0.897     72
634     0.883     70
635     0.886     70
636     0.882     67
